,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
4801,1939.0,Both 11,M,Scooping prawns,7' shark,AUSTRALIA,N,scooping prawns,m,11,7' shark
4807,1938.0,19,M,Swimming,,AUSTRALIA,Y,swimming,m,19,
4808,1938.0,18,M,Fishing,"Tiger shark, 6'",AUSTRALIA,N,fishing,m,18,Tiger shark
4813,1938.0,27,M,"Fishing, removing gaff from shark's mouth",,USA,N,fishing,m,27,
4814,1938.0,25,M,"Hardhat diving from Japanese pearling lugger, Reiyo Maru",,AUSTRALIA,Y,"hardhat diving from japanese pearling lugger, reiyo maru",m,25,
4818,1938.0,9 or 10,M,"Swimming, naked",Bull shark,IRAQ,N,swimming,m,9,Bull shark
4823,1938.0,13,M,"Watching seine netters with friends, one of whom picked up a netted shark",,SOUTH AFRICA,N,"watching seine netters with friends, one of whom picked up a netted shark",m,13,
4824,1938.0,24,M,Diving off jetty,Questionable incident,AUSTRALIA,,diving off jetty,m,24,questionable incident
4827,1938.0,50,M,Body surfing,"""grey-colored shark""",TRINIDAD & TOBAGO,N,surfing,m,50,"""grey-colored shark"""
4829,1938.0,17,M,Diving,,AUSTRALIA,N,diving,m,17,
4832,1937.0,17,M,Diving for trochus,12' shark,AUSTRALIA,Y,diving for trochus,m,17,12' shark
4834,1937.0,25,M,Swimming ,Tiger shark,AUSTRALIA,Y,swimming,m,25,Tiger shark
4835,1937.0,18,M,Swimming ,"Tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained Girvan's remains ",AUSTRALIA,Y,swimming,m,18,Tiger shark
4836,1937.0,16,M,Swimming near jetty,2.4 m [8'] shark,AUSTRALIA,N,swimming,m,16,2.4 m [8'] shark
4842,1937.0,38,M,"Diving from the lugger San, operated by the Protector of the Aborigines","Tiger shark, 9' to 10' ",AUSTRALIA,N,"diving from the lugger san, operated by the protector of the aborigines",m,38,Tiger shark
4844,1937.0,21,M,Swimming,,PANAMA,Y,swimming,m,21,
4849,1937.0,14,M,Swimming,,USA,Y,swimming,m,14,
4851,1937.0,33,M,"Refused permission to cross on the ferry, he was swimming across the river",2 days later a 600-lb shark was caught 100 yards from the site,AUSTRALIA,Y,swimming,m,33,2 days later a 600-lb shark was caught 100 yards from the site
4852,1937.0,16,M,Bathing,Shark involvement prior to death was not confirmed,AUSTRALIA,,bathing,m,16,Not a shark
4853,1937.0,43,M,Swimming,Shark involvement prior to death was not confirmed,AUSTRALIA,,swimming,m,43,Not a shark
4854,1937.0,32,M,Swimming,White shark,AUSTRALIA,Y,swimming,m,32,White shark
4857,1937.0,20,M,Fishing,"3' ""blue nosed"" shark",AUSTRALIA,N,fishing,m,20,"3' ""blue nosed"" shark"
4859,1937.0,18,M,Holding shark's tail ,"Grey nurse shark, 8'",AUSTRALIA,N,holding shark's tail ,m,18,Nurse shark
4864,1936.0,15,M,Swimming,,AUSTRALIA,Y,swimming,m,15,
4865,1936.0,50,M,Fishing,Thought to involve a 12' white shark,AUSTRALIA,Y,fishing,m,50,White shark
4873,1936.0,13,M,Fishing,,USA,N,fishing,m,13,
4874,1936.0,16,M,Swimming crawl stroke,White shark (identified by Dr. Hugh Smith) ,USA,Y,swimming,m,16,White shark
4878,1936.0,16,M,"Diving for trochus , but swimming on surface","Tiger shark, 2.4 m [8']",AUSTRALIA,Y,swimming,m,16,Tiger shark
4880,1936.0,16,M,Diving for trochus,"Tiger shark, 4.6 m [15'] ",AUSTRALIA,N,diving for trochus,m,16,Tiger shark
4886,1936.0,young,F,Touching the mouth of a supposedly dead shark,,AUSTRALIA,N,touching the mouth of a supposedly dead shark,f,,
4888,1936.0,14,M,Swimming,White shark,AUSTRALIA,Y,swimming,m,14,White shark
4889,1936.0,13,M,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",White shark,AUSTRALIA,Y,swimming,m,13,White shark
4890,1936.0,17,M,Surfing,Shark involvement prior to death was not confirmed,AUSTRALIA,,surfing,m,17,Not a shark
4894,1935.0,20,M,Diving?,,AUSTRALIA,N,diving?,m,20,
4895,1935.0,38,M,Swimming,,USA,Y,swimming,m,38,
4897,1935.0,38,M,"Fell overboard, hanging onto lifebuoy",3.7 m [12'] shark,AUSTRALIA,Y,"fell overboard, hanging onto lifebuoy",m,38,3.7 m [12'] shark
4900,1935.0,23,M,fishing boat exploded & sank,Invalid,USA,,fishing,m,23,invalid
4901,1935.0,53,M,fishing boat exploded & sank,Invalid,USA,,fishing,m,53,invalid
4902,1935.0,14,M,"Fishing with dynamite, afterwards in water retrieving catch",,PANAMA,Y,fishing,m,14,
4903,1935.0,22,F,Swimming,,CROATIA,Y,swimming,f,22,
4904,1935.0,31,M,"Fishing for bluefish, shark leapt into dory",4.6 m [15'] shark,USA,N,fishing,m,31,4.6 m [15'] shark
4910,1935.0,40,M,"Disappeared 11 days earlier, probable homicide victim",Invalid,AUSTRALIA,,"disappeared 11 days earlier, probable homicide victim",m,40,invalid
4916,1935.0,38,M,Hauling in net with shark in it,"""Blue nose shark""",AUSTRALIA,N,hauling in net with shark in it,m,38,"""blue nose shark"""
4918,1935.0,27,M,Swimming,"White shark, 4 m [13'] ",AUSTRALIA,Y,swimming,m,27,White shark
4919,1935.0,22,M,Standing,"White shark, 3.5 m to 4 m [11.5' to 13'] ",AUSTRALIA,Y,standing,m,22,White shark
4920,1935.0,20,M,Surfing (pneumatic surfboard),,AUSTRALIA,N,surfing,m,20,
4925,1934.0,13,F,Splashing,"Tiger shark, 1.5 m [5'] ",AUSTRALIA,N,splashing,f,13,Tiger shark
4926,1934.0,19,M,Swimming (lead swimmer in race),,AUSTRALIA,Y,swimming,m,19,
4927,1934.0,14,M,Taken as he dived into the water,,AUSTRALIA,Y,taken as he dived into the water,m,14,
4928,1934.0,12,M,Swimming & splashing,,AUSTRALIA,N,swimming,m,12,
4929,1934.0,38,F,Bathing,,AUSTRALIA,Y,bathing,f,38,
4936,1934.0,18,F,Swimming,White shark,CROATIA,Y,swimming,f,18,White shark
4937,1934.0,11,M,Swimming,,USA,N,swimming,m,11,
4940,1934.0,8,M,Standing,,USA,Y,standing,m,8,
4941,1934.0,34,M,Body surfing,,AUSTRALIA,N,surfing,m,34,
4943,1934.0,12,M,Swimming ,,SOUTH AFRICA,N,swimming,m,12,
4944,1934.0,15,M,Swimming in waist-deep water ,4.3 m [14'] shark seen in vicinity,AUSTRALIA,Y,swimming,m,15,4.3 m [14'] shark seen in vicinity
4945,1934.0,17,M,Swimming in hip-deep water,4 m [13'] shark seen in vicinity,AUSTRALIA,Y,swimming,m,17,4 m [13'] shark seen in vicinity
4950,1934.0,15,M,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,,AUSTRALIA,N,swimming,m,15,
